Group_id,Group_title,Chapter_id,Chapter_title,Level_id,Level_qualifier
3,Product And Process Capabilities,13,Working in Small Batches,5,"Working changes are deployed multiple times per day , work is naturally sized in very small units."
3,Product And Process Capabilities,14,Team Experimentation,1,"None."
3,Product And Process Capabilities,14,Team Experimentation,2,"A - B Test or other testing framework available for experimentation."
3,Product And Process Capabilities,14,Team Experimentation,3,"Experiments can be measure via multiple tools and viewpoints."
3,Product And Process Capabilities,14,Team Experimentation,4,"Seek to update business specifications during development to create value."
3,Product And Process Capabilities,14,Team Experimentation,5,"Developer experimentation without outside approval , Close consultation with."
4,Lean Management Capabilities,15,Change Approval Processes,1,"None / Manual."
4,Lean Management Capabilities,15,Change Approval Processes,2,"Little to no process around tracking or approving changes. External change advisory board has oversight for changes."
4,Lean Management Capabilities,15,Change Approval Processes,3,"Processes for approval of changes to code. May also include configuration and or tests (unit test code)."
4,Lean Management Capabilities,15,Change Approval Processes,4,"Peer or Team approval of code. May also include tests (unit test code) and/or deployment automation (scripts)"
4,Lean Management Capabilities,15,Change Approval Processes,5,"Pair Approval of code, tests, configuration. Also including code for infrastructure (network, disk and compute)."
4,Lean Management Capabilities,16,Monitoring,1,"Minimal or no monitoring. Monitoring is adhoc and not related to business value."
4,Lean Management Capabilities,16,Monitoring,2,"Batched based monitoring via manual processes. Monitoring is difficult to tie to business value. Monitoring is focused only one delivery process or application usage, but not both."
4,Lean Management Capabilities,16,Monitoring,3,"Visual display of work and process limits are defined and enforced. Monitoring of both delivery process and application are emerging."
4,Lean Management Capabilities,16,Monitoring,4,"Defined metrics for work, e.g. cycle times, defect rates. Metrics are visible to all, not just the team. Monitoring of both delivery process and application have equal weight."
4,Lean Management Capabilities,16,Monitoring,5,"Metrics are aligned to operational goals, and business value. Monitoring is used for feedback to delivery processes."
4,Lean Management Capabilities,17,Proactive Notification,1,"None."
4,Lean Management Capabilities,17,Proactive Notification,2,"Use of infrastructure or systems monitoring tools. Process metrics are captured."
4,Lean Management Capabilities,17,Proactive Notification,3,"Key metrics identified, including system, business and process metrics. Process metrics include lead time, release frequency and mean time to repair (MTTR)."
4,Lean Management Capabilities,17,Proactive Notification,4,"Dashboards setup and alerting in place for all metrics. Metrics are reviewed regularly."
4,Lean Management Capabilities,17,Proactive Notification,5,"Data is used to inform business decisions and feature and work planning processes. Metrics collection and usage is continuously refined for better insights."
4,Lean Management Capabilities,18,WIP Limits,1,"None."
4,Lean Management Capabilities,18,WIP Limits,2,"Standard Work Processes."
4,Lean Management Capabilities,18,WIP Limits,3,"Kanban (Either Sprint or Continuous Delivery). Process is being optimized for flow of work"
4,Lean Management Capabilities,18,WIP Limits,4,"Limits Identified and Enforced (without data or by outside entity). Flow is defined. Overload is limited."
4,Lean Management Capabilities,18,WIP Limits,5,"Work in small batches. Team uses data to define their own WIP limits (not an outside entity). No overload."
4,Lean Management Capabilities,19,Visualizing Work,1,"No process / ad-hoc or manual reports."
4,Lean Management Capabilities,19,Visualizing Work,2,"Defined process (either lightweight or comprehensive). Recurring reports (either manual or automatic)."
4,Lean Management Capabilities,19,Visualizing Work,3,"Storyboards / Kanban. Visible dashboards or wall displays. Product hierarchy."
4,Lean Management Capabilities,19,Visualizing Work,4,"Real time updates on defect, defect rates, etc. Worked items linked to code updates."
4,Lean Management Capabilities,19,Visualizing Work,5,"All information is publicly available. Shared understanding with senior management. Advanced techniques (AR, VR)."
5,Cultural Capabilities,20,Performance Oriented Culture,1,"Low cooperation and siloed organizations with minimal interaction between them."
5,Cultural Capabilities,20,Performance Oriented Culture,2,"Novelty discouraged. Silos have become well defined with narrow responsibilities and have bureaucratic interfaces.""
5,Cultural Capabilities,20,Performance Oriented Culture,3,"Modest cooperation between teams and across the organization, Information sharing is limited."
5,Cultural Capabilities,20,Performance Oriented Culture,4,"Root cause analysis is objective. Experimentation embraced or encouraged. Responsibilities are discussed in terms of overall risk."
5,Cultural Capabilities,20,Performance Oriented Culture,5,"High cooperation. Good information Flow. Failures are opportunities to improve the system. Risks are shared among teams."
5,Cultural Capabilities,21,Supporting Learning,1,"Learning is invisible or non-existent."
5,Cultural Capabilities,21,Supporting Learning,2,"Learning is a cost. Time for learning is considered un-productive and interferes with real work."
5,Cultural Capabilities,21,Supporting Learning,3,"Learning is budgeted and visible. Learning is considered a perk or is reserved for select resources. Resources have limited ability to choose topics for learning."
5,Cultural Capabilities,21,Supporting Learning,4,"Learning from customer and actual usage of the system. Learning is an investment broadly available. Mentoring in supported."
5,Cultural Capabilities,21,Supporting Learning,5,"Leaning is continuous. Learning incorporates views from all stakeholders. Learning is encouraged as a normal course of work. Mentoring is seen as a learning practice."
5,Cultural Capabilities,22,Collaboration Among Teams,1,"Little trust and little interaction between teams. Collaboration when it occurs, occurs late in the process."
5,Cultural Capabilities,22,Collaboration Among Teams,2,"Teams require overly formal processes for collaboration."
5,Cultural Capabilities,22,Collaboration Among Teams,3,"Teams build and support knowledge transfer processes, and good documentation."
5,Cultural Capabilities,22,Collaboration Among Teams,4,"Leadership supports assistance across teams, rather than sticking to defined silos. Teams exhibit trust in other teams."
5,Cultural Capabilities,22,Collaboration Among Teams,5,"Resources are encouraged to move between departments. Successes are shared and celebrated at the organizational level. Actively and continuously rewarding work that facilitates collaboration."
5,Cultural Capabilities,23,Job Satisfaction,1,"Negative words are used to describe the work items and work environment. Tasks oriented work is assigned to team members by others."
5,Cultural Capabilities,23,Job Satisfaction,2,"Work assigned takes advantage of the employeesÕ skill set. The right tools are available to do the work required."
5,Cultural Capabilities,23,Job Satisfaction,3,"Acquisition of tools is supported. All members feel welcome and valued. Team members choose work from a prioritized list of features created by the business."
5,Cultural Capabilities,23,Job Satisfaction,4,"Works loads are consistent and continuous. Teams have spontaneous discussions and members are eager to contribute. Judgement of the team is supported across the organization."
5,Cultural Capabilities,23,Job Satisfaction,5,"When issues are raised they are seen as opportunities to solve problems. Employees identify with the organization and have a sense of contribution. Diverse backgrounds are encouraged to collaborate."
5,Cultural Capabilities,24,Transformational Leadership,1,"No clear direction or understanding of the vision for the organization. Positive feedback is rare."
5,Cultural Capabilities,24,Transformational Leadership,2,"Transactional leadership focused on detailed measurements and little recognition for different approaches. Supports status quo."
5,Cultural Capabilities,24,Transformational Leadership,3,"Teams and leadership agree about alignment and progress toward goals. Broader and more holistic views are encouraged."
5,Cultural Capabilities,24,Transformational Leadership,4,"Long term vision is articulated through motivating communication about shared goals and direction."
5,Cultural Capabilities,24,Transformational Leadership,5,"Leadership trusts the team and supports team experimentation to realize the vision. Supports individuals as well as the broader goals."
